label,method,dock_prot,filtered,scaffold_only,n_total,n_with_predictions,mean_n_poses,n_rmsd_valid,n_success_valid,rmsd_valid_rate,success_valid_rate,rmsd_valid_pct,success_valid_pct,rmsd_only_pct
gnina_multi redock top25,gnina_multi,redock,True,True,802,802,25.0,739,684,0.9214463840399002,0.8528678304239401,92.14463840399002,85.286783042394,6.857855361596009
smina_multi redock top25,smina_multi,redock,True,True,802,802,25.0,669,603,0.8341645885286783,0.7518703241895262,83.41645885286782,75.18703241895261,8.229426433915208
diffdock redock top25,diffdock,redock,True,True,802,802,25.0,29,21,0.03615960099750624,0.026184538653366583,3.6159600997506236,2.6184538653366585,0.9975062344139651
gnina_multi A71EV2A_AF_prepared_aligned top25,gnina_multi,A71EV2A_AF_prepared_aligned,True,True,802,802,25.0,145,16,0.18079800498753118,0.0199501246882793,18.07980049875312,1.99501246882793,16.08478802992519
smina_multi A71EV2A_AF_prepared_aligned top25,smina_multi,A71EV2A_AF_prepared_aligned,True,True,802,802,25.0,89,4,0.11097256857855362,0.004987531172069825,11.097256857855362,0.4987531172069825,10.598503740648379
diffdock A71EV2A_AF_prepared_aligned top25,diffdock,A71EV2A_AF_prepared_aligned,True,True,802,802,25.0,2,0,0.0024937655860349127,0.0,0.24937655860349126,0.0,0.24937655860349126
gnina_multi A71EV2A_8POA_prepared_aligned top25,gnina_multi,A71EV2A_8POA_prepared_aligned,True,True,802,802,25.0,4,0,0.004987531172069825,0.0,0.4987531172069825,0.0,0.4987531172069825
smina_multi A71EV2A_8POA_prepared_aligned top25,smina_multi,A71EV2A_8POA_prepared_aligned,True,True,802,802,25.0,3,0,0.003740648379052369,0.0,0.3740648379052369,0.0,0.3740648379052369
diffdock A71EV2A_8POA_prepared_aligned top25,diffdock,A71EV2A_8POA_prepared_aligned,True,True,802,802,25.0,0,0,0.0,0.0,0.0,0.0,0.0
gnina_multi fragment_crossdock top25,gnina_multi,fragment_crossdock,True,True,802,802,25.0,303,109,0.3778054862842893,0.13591022443890274,37.78054862842893,13.591022443890274,24.189526184538657
smina_multi fragment_crossdock top25,smina_multi,fragment_crossdock,True,True,802,802,25.0,167,53,0.2082294264339152,0.06608478802992519,20.82294264339152,6.608478802992519,14.214463840399002
diffdock fragment_crossdock top25,diffdock,fragment_crossdock,True,True,802,802,25.0,3,1,0.003740648379052369,0.0012468827930174563,0.3740648379052369,0.12468827930174563,0.24937655860349128
